masc_words_en	fem_words_en
active	affectionate
adventurous	child*
aggress*	cheer*
ambitio*	commit*
analy*	communal
assert*	compassion*
athlet*	connect*
autonom*	considerate
boast*	cooperat*
challeng*	depend*
compet*	emotiona*
courag*	empath*
decide	feminine
decisive	flatterable
decision*	gentle
determin*	honest
dominant	interpersonal
domina*	interdependen*
force*	interpersona*
greedy	kind
headstrong	kinship
hierarch*	loyal*
hostil*	modesty
impulsive	nag
independen*	nurtur*
individual*	pleasant*
intellect*	polite
lead*	quiet*
logic	respon*
masculine	sensitiv*
objective	submissive
opinion	support*
outspoken	sympath*
persist	tender*
principle*	together*
reckless	trust*
stubborn	understand*
superior	warm*
self-confiden*	whin*
self-sufficien*	yield*
self-relian*	
